UID,Time,totalVal
1011910869,2020/1/13,107
1011910869,2020/1/14,107
1011910869,2020/1/15,107
1011910869,2020/1/16,119
1011910869,2020/1/17,119
1011910869,2020/1/18,119
1011910869,2020/1/19,119
1011910869,2020/1/20,119
1011910869,2020/1/21,119
1011910869,2020/1/22,119
1011910869,2020/1/23,119
1011910869,2020/1/24,119
1011910869,2020/1/25,119
1011910869,2020/1/26,119
1011910869,2020/1/27,119
1011910869,2020/1/28,119
1011910869,2020/1/29,119
1011910869,2020/1/30,119
1011910869,2020/1/31,119
1011910869,2020/2/1,119
1011910869,2020/2/2,119
1011910869,2020/2/3,119
1011910869,2020/2/4,119
1011910869,2020/2/5,119
1011910869,2020/2/6,119
1011910869,2020/2/7,119
1011910869,2020/2/8,119
1011910869,2020/2/9,119
1011910869,2020/2/10,119
1011910869,2020/2/11,120
1011910869,2020/2/12,120
1011910869,2020/2/13,120
1011910869,2020/2/14,120
1011910869,2020/2/15,120
1011910869,2020/2/16,120
1011910869,2020/2/17,120
1011910869,2020/2/18,120
1011910869,2020/2/19,120
1011910869,2020/2/20,120
1011910869,2020/2/21,120
1011910869,2020/2/22,120
1011910869,2020/2/23,120
1011910869,2020/2/24,120
1011910869,2020/2/25,120
1011910869,2020/2/26,120
1011910869,2020/2/27,120
1011910869,2020/2/28,120
1011910869,2020/2/29,120
1011910869,2020/3/1,120
1011910869,2020/3/2,120
1011910869,2020/3/3,120
1011910869,2020/3/4,120
1011910869,2020/3/5,120
1011910869,2020/3/6,120
1011910869,2020/3/7,120
1011910869,2020/3/8,120
1011910869,2020/3/9,120
1011910869,2020/3/10,120
1011910869,2020/3/11,120
1011910869,2020/3/12,120
1011910869,2020/3/13,120
1011910869,2020/3/14,120
1011910869,2020/3/15,120
1011910869,2020/3/16,120
1011910869,2020/3/17,120
1011910869,2020/3/18,120
1011910869,2020/3/19,120
1011910869,2020/3/20,120
1011910869,2020/3/21,120
1011910869,2020/3/22,120
1011910869,2020/3/23,120
1011910869,2020/3/24,120
1011910869,2020/3/25,120
1011910869,2020/3/26,120
1011910869,2020/3/27,120
1011910869,2020/3/28,120
1011910869,2020/3/29,120
1011910869,2020/3/30,120
1011910869,2020/3/31,120
1021550848,2020/1/1,72
1021550848,2020/1/2,72
1021550848,2020/1/3,72
1021550848,2020/1/4,72
1021550848,2020/1/5,72
1021550848,2020/1/6,72
1021550848,2020/1/7,72
1021550848,2020/1/8,72
1021550848,2020/1/9,72
1021550848,2020/1/10,72
1021550848,2020/1/11,72
1021550848,2020/1/12,72
1021550848,2020/1/13,72
1021550848,2020/1/14,72
1021550848,2020/1/15,72
1021550848,2020/1/16,72
1021550848,2020/1/17,72
1021550848,2020/1/18,72
1021550848,2020/1/19,72
1021550848,2020/1/20,72
1021550848,2020/1/21,72
1021550848,2020/1/22,72
1021550848,2020/1/23,72
1021550848,2020/1/24,72
1021550848,2020/1/25,72
1021550848,2020/1/26,72
1021550848,2020/1/27,72
1021550848,2020/1/28,72
1021550848,2020/1/29,72
1021550848,2020/1/30,72
1021550848,2020/1/31,72
1021550848,2020/2/1,72
1021550848,2020/2/2,72
1021550848,2020/2/3,72
1021550848,2020/2/4,72
1021550848,2020/2/5,72
1021550848,2020/2/6,72
1021550848,2020/2/7,72
1021550848,2020/2/8,72
1021550848,2020/2/9,72
1021550848,2020/2/10,72
1021550848,2020/2/11,72
1021550848,2020/2/12,72
1021550848,2020/2/13,72
1021550848,2020/2/14,72
1021550848,2020/2/15,72
1021550848,2020/2/16,72
1021550848,2020/2/17,72
1021550848,2020/2/18,72
1021550848,2020/2/19,72
1021550848,2020/2/20,72
1021550848,2020/2/21,72
1021550848,2020/2/22,72
1021550848,2020/2/23,72
1021550848,2020/2/24,72
1021550848,2020/2/25,72
1021550848,2020/2/26,72
1021550848,2020/2/27,72
1021550848,2020/2/28,72
1021550848,2020/2/29,72
1021550848,2020/3/1,72
1021550848,2020/3/2,72
1021550848,2020/3/3,72
1021550848,2020/3/4,72
1021550848,2020/3/5,72
1021550848,2020/3/6,72
1021550848,2020/3/7,72
1021550848,2020/3/8,72
1021550848,2020/3/9,72
1021550848,2020/3/10,72
1021550848,2020/3/11,72
1021550848,2020/3/12,72
1021550848,2020/3/13,72
1021550848,2020/3/14,72
1021550848,2020/3/15,72
1021550848,2020/3/16,72
1021550848,2020/3/17,72
1021550848,2020/3/18,72
1021550848,2020/3/19,72
1021550848,2020/3/20,72
1021550848,2020/3/21,72
1021550848,2020/3/22,72
1021550848,2020/3/23,72
1021550848,2020/3/24,72
1021550848,2020/3/25,72
1021550848,2020/3/26,72
1021550848,2020/3/27,72
1021550848,2020/3/28,72
1021550848,2020/3/29,72
1021550848,2020/3/30,72
1021550848,2020/3/31,72
1021842783,2020/1/1,174
1021842783,2020/1/2,174
1021842783,2020/1/3,174
1021842783,2020/1/4,174
1021842783,2020/1/5,174
1021842783,2020/1/6,174
1021842783,2020/1/7,174
1021842783,2020/1/8,174
1021842783,2020/1/9,174
1021842783,2020/1/10,174
1021842783,2020/1/11,174
1021842783,2020/1/12,174
1021842783,2020/1/13,174
1021842783,2020/1/14,174
1021842783,2020/1/15,174
1021842783,2020/1/16,174
1021842783,2020/1/17,174
1021842783,2020/1/18,174
1021842783,2020/1/19,174
1021842783,2020/1/20,174
1021842783,2020/1/21,174
1021842783,2020/1/22,174
1021842783,2020/1/23,174
1021842783,2020/1/24,174
1021842783,2020/1/25,174
1021842783,2020/1/26,174
1021842783,2020/1/27,174
1021842783,2020/1/28,174
1021842783,2020/1/29,174
1021842783,2020/1/30,174
1021842783,2020/1/31,174
1021842783,2020/2/1,174
1021842783,2020/2/2,174
1021842783,2020/2/3,174
1021842783,2020/2/4,174
1021842783,2020/2/5,174
1021842783,2020/2/6,174
1021842783,2020/2/7,174
1021842783,2020/2/8,174
1021842783,2020/2/9,174
1021842783,2020/2/10,174
1021842783,2020/2/11,174
1021842783,2020/2/12,174
1021842783,2020/2/13,174
1021842783,2020/2/14,174
1021842783,2020/2/15,174
1021842783,2020/2/16,174
1021842783,2020/2/17,174
1021842783,2020/2/18,174
1021842783,2020/2/19,174
1021842783,2020/2/20,174
1021842783,2020/2/21,174
1021842783,2020/2/22,174
1021842783,2020/2/23,174
1021842783,2020/2/24,174
1021842783,2020/2/25,174
1021842783,2020/2/26,174
1021842783,2020/2/27,174
1021842783,2020/2/28,174
1021842783,2020/2/29,174
1021842783,2020/3/1,174
1021842783,2020/3/2,174
1021842783,2020/3/3,174
1021842783,2020/3/4,174
1021842783,2020/3/5,174
1021842783,2020/3/6,174
1021842783,2020/3/7,174
1021842783,2020/3/8,174
1021842783,2020/3/9,174
1021842783,2020/3/10,174
1021842783,2020/3/11,174
1021842783,2020/3/12,174
1021842783,2020/3/13,174
1021842783,2020/3/14,174
1021842783,2020/3/15,174
1021842783,2020/3/16,174
1021842783,2020/3/17,174
1021842783,2020/3/18,174
1021842783,2020/3/19,174
1021842783,2020/3/20,174
1021842783,2020/3/21,174
1021842783,2020/3/22,174
1021842783,2020/3/23,174
1021842783,2020/3/24,174
1021842783,2020/3/25,174
1021842783,2020/3/26,174
1021842783,2020/3/27,174
1021842783,2020/3/28,174
1021842783,2020/3/29,174
1021842783,2020/3/30,174
1021842783,2020/3/31,174
1024582794,2020/2/24,48
1024582794,2020/2/25,54
1024582794,2020/2/26,64
1024582794,2020/2/27,64
1024582794,2020/2/28,64
1024582794,2020/2/29,64
1024582794,2020/3/1,64
1024582794,2020/3/2,65
1024582794,2020/3/3,65
1024582794,2020/3/4,65
1024582794,2020/3/5,65
1024582794,2020/3/6,65
1024582794,2020/3/7,65
1024582794,2020/3/8,65
1024582794,2020/3/9,65
1024582794,2020/3/10,65
1024582794,2020/3/11,65
1024582794,2020/3/12,65
1024582794,2020/3/13,68
1024582794,2020/3/14,68
1024582794,2020/3/15,68
1024582794,2020/3/16,68
1024582794,2020/3/17,68
1024582794,2020/3/18,68
1024582794,2020/3/19,68
1024582794,2020/3/20,68
1024582794,2020/3/21,68
1024582794,2020/3/22,68
1024582794,2020/3/23,68
1024582794,2020/3/24,68
1024582794,2020/3/25,68
1024582794,2020/3/26,68
1024582794,2020/3/27,68
1024582794,2020/3/28,68
1024582794,2020/3/29,68
1024582794,2020/3/30,68
1024582794,2020/3/31,68
1030781205,2020/1/1,2
1030781205,2020/1/2,2
1030781205,2020/1/3,2
1030781205,2020/1/4,2
1030781205,2020/1/5,2
1030781205,2020/1/6,2
1030781205,2020/1/7,2
1030781205,2020/1/8,2
1030781205,2020/1/9,2
1030781205,2020/1/10,2
1030781205,2020/1/11,2
1030781205,2020/1/12,2
1030781205,2020/1/13,2
1030781205,2020/1/14,2
1030781205,2020/1/15,2
1030781205,2020/1/16,2
1030781205,2020/1/17,2
1030781205,2020/1/18,2
1030781205,2020/1/19,2
1030781205,2020/1/20,2
1030781205,2020/1/21,2
1030781205,2020/1/22,2
1030781205,2020/1/23,2
